ARCHITECTURE,ID,RP1,RP2,RP3,CAMERA,ROAD,RAISED,NN_TRUTH,NN_PREDICTION
VGG19,6026,1111,1111,1111,1111,1111,,1111,1111
VGG19,6889,1111,1111,1111,1111,1111,,1111,1111
VGG19,6613,1111,1111,1111,1111,1111,,1111,1111
VGG19,6502,1111,1111,1111,1112,1111,4,1112,1112
VGG19,6739,1112,1112,1112,1112,1112,,1112,1112
VGG19,6913,1112,1112,1112,1112,1112,,1112,1112
VGG19,7085,1112,1112,1112,1112,1112,,1112,1112
VGG19,5960,111,111,111,111,111,,111,111
VGG19,7231,111,111,111,111,111,,111,111
VGG19,6861,111,111,111,111,111,,111,111
VGG19,5708,111,111,111,111,111,,111,111
VGG19,5775,111,111,111,111,111,,111,111
VGG19,5755,111,111,111,111,111,,111,111
VGG19,6171,111,111,111,111,111,,111,111
VGG19,5953,111,111,111,111,111,,111,111
VGG19,6436,22,22,22,22,22,,22,22
VGG19,6897,22,22,22,22,22,,22,22
VGG19,6130,22,22,22,22,22,,22,22
VGG19,7262,22,22,22,22,22,,22,22
VGG19,5796,22,22,22,22,22,,22,22
VGG19,6946,22,22,22,22,22,,22,22
VGG19,7140,22,22,22,22,22,,22,22
VGG19,6131,22,22,22,22,22,,22,22
VGG19,6041,1222,1222,1222,1222,1222,,1222,1222
VGG19,5725,112,112,112,113,112,3,113,113
VGG19,6108,113,113,113,113,113,,113,113
VGG19,6328,112,112,112,113,112,3,113,113
VGG19,6093,113,113,113,113,113,,113,113
VGG19,7098,112,112,112,113,112,3,113,113
VGG19,7177,113,113,113,113,113,,113,113
VGG19,6487,113,113,113,113,113,,113,113
VGG19,7226,113,113,113,113,113,,113,113
VGG19,5710,113,113,113,113,113,,113,113
VGG19,6826,113,113,113,113,113,,113,113
VGG19,5711,113,113,113,113,113,,113,113
VGG19,7073,112,112,112,113,112,3,113,113
VGG19,5956,113,113,113,113,113,,113,113
VGG19,5770,113,113,113,113,113,,113,113
VGG19,6388,113,113,113,113,113,,113,113
VGG19,5747,113,113,113,113,113,,113,113
VGG19,6413,113,113,113,113,113,,113,113
VGG19,5940,113,113,113,113,113,,113,113
VGG19,6461,113,113,113,113,113,,113,113
VGG19,6658,113,113,113,113,113,,113,113
VGG19,5970,113,113,113,113,113,,113,113
VGG19,5749,113,113,113,113,113,,113,113
VGG19,6153,113,113,113,113,113,,113,113
VGG19,5877,113,113,113,113,113,,113,113
VGG19,5777,112,112,112,113,112,3,113,113
VGG19,6972,113,113,113,113,113,,113,113
VGG19,7058,113,113,113,113,113,,113,113
VGG19,7198,113,113,113,113,113,,113,113
VGG19,6696,113,113,113,113,113,,113,113
VGG19,7159,113,113,113,113,113,,113,113
VGG19,6183,113,113,113,113,113,,113,113
VGG19,6624,113,113,113,113,113,,113,113
VGG19,7120,113,113,113,113,113,,113,113
VGG19,6216,113,113,113,113,113,,113,113
VGG19,6887,113,113,113,113,113,,113,113
VGG19,6274,113,113,113,113,113,,113,113
VGG19,6920,112,112,112,113,112,3,113,113
VGG19,6066,113,113,113,113,113,,113,113
VGG19,6760,113,113,113,113,113,,113,113
VGG19,6610,113,113,113,113,113,,113,113
VGG19,6319,113,113,113,113,113,,113,113
VGG19,6674,113,113,113,113,113,,113,113
VGG19,6931,113,113,113,113,113,,113,113
VGG19,7090,113,113,113,113,113,,113,113
VGG19,6295,113,113,113,113,113,,113,113
VGG19,5924,113,113,113,113,113,,113,113
VGG19,6600,113,113,113,113,113,,113,113
VGG19,6200,112,112,112,113,112,3,113,113
VGG19,5723,113,113,113,113,113,,113,113
VGG19,6718,112,112,112,113,112,3,113,113
VGG19,6135,113,113,113,113,113,,113,113
VGG19,6928,113,113,113,113,113,,113,113
VGG19,5873,113,113,113,113,113,,113,113
VGG19,6075,113,113,113,113,113,,113,113
VGG19,7166,113,113,113,113,113,,113,113
VGG19,7263,112,112,112,113,112,3,113,113
VGG19,7149,113,113,113,113,113,,113,113
VGG19,6704,113,113,113,113,113,,113,113
VGG19,5973,113,113,113,113,113,,113,113
VGG19,7176,113,113,113,113,113,,113,113
VGG19,6728,113,113,113,113,113,,113,113
VGG19,6951,113,113,113,113,113,,113,113
VGG19,6627,112,112,112,113,112,3,113,113
VGG19,6745,113,113,113,113,113,,113,113
VGG19,6956,113,113,113,113,113,,113,113
VGG19,6785,113,113,113,113,113,,113,113
VGG19,6078,113,113,113,113,113,,113,113
VGG19,6557,113,113,113,113,113,,113,113
VGG19,6530,113,113,113,113,113,,113,113
VGG19,6454,113,113,113,113,113,,113,113
VGG19,6339,113,113,113,113,113,,113,113
VGG19,6399,112,112,112,113,112,3,113,113
VGG19,7169,113,113,113,113,113,,113,113
VGG19,6630,112,112,112,113,112,3,113,113
VGG19,5988,113,113,113,113,113,,113,113
VGG19,7057,113,113,113,113,113,,113,113
VGG19,6827,113,113,113,113,113,,113,113
VGG19,5980,113,113,113,113,113,,113,113
VGG19,6027,113,113,113,113,113,,113,113
VGG19,6331,112,112,112,113,112,3,113,113
VGG19,5857,112,112,112,113,112,3,113,113
VGG19,6344,113,113,113,113,113,,113,113
VGG19,6423,113,113,113,113,113,,113,113
VGG19,5776,113,113,113,113,113,,113,113
VGG19,6467,112,112,112,113,112,3,113,113
VGG19,6980,11,11,113,113,113,,113,113
